,Выгрузка банкетов за март 2026,,,,,,,,,,
,Hello Park Селигерская,,,,,,,,,,
,,,,,,,,,,,
,,Резюме,Сумма,% от продаж,Кол-во,% от кол-ва,Комментарии,,,,
,,Общие ,2 504 938,100%,47,100%,,,,,
,,Анимация,202 412,8%,22,47%,,,,,
,,Билеты,315 619,13%,,,,,,,
,,Блюда и напитки,673 837,27%,,,,,,,
,,Праздники прочее,45 750,2%,,,"Продление пати-рума, пиньята, фонтан, шары, выбор костюма",,,,
,,Пакет ДР,1 011 800,40%,22,47%,"Всего 22 пакета (базовый 8, премиум 13, эксклюзив 1), остальные ДР заказываются как банкеты в ресторане",,,,
,,Оператор,3 000,0%,,,,,,,
,,Товары касса,15 460,1%,,,,,,,
,,Торт,108 960,4%,13,28%,,,,,
,,Фотоуслуги ,128 100,5%,19,40%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Номер строки,Номер чека,Блюдо,Банкет,Категория блюда,Учетный день,Чеков,"Средняя цена, р.","Сумма без скидки, р.","Сумма скидки, р.","Сумма со скидкой, р.",Количество блюд
128,471,Премиум Выходные,Да,Праздники,21.03.2026,1,57 900,57 900,0,57 900,1
129,471,Семейный хит,Да,Фотоуслуги,21.03.2026,1,9 900,9 900,0,9 900,1
130,471,"Сервис ""Пробковый сбор""",Да,Пробковый сбор,21.03.2026,1,2 000,4 000,0,4 000,2
131,471,"Сервис ""Сладкий сбор""",Да,Пробковый сбор,21.03.2026,1,2 000,2 000,0,2 000,1
132,471,Сет намазок,Да,На компанию,21.03.2026,1,1 200,1 200,0,1 200,1
133,471,Сок апельсиновый 1 л,Да,Холодные напитки,21.03.2026,1,620,620,0,620,1
134,471,Сырная тарелка,Да,На компанию,21.03.2026,1,1 190,2 380,0,2 380,2
135,471,Треш-коробка М,Да,Праздники,21.03.2026,1,0,0,0,,1
136,471,фруктовый медвежонок,Да,Детское меню,21.03.2026,1,0,0,0,0,2
137,583,Анимация Мультики Дисней,Да,Анимация,21.03.2026,1,0,0,0,0,1
138,583,Ассам,Да,Горячие напитки,21.03.2026,1,263,1 050,263,788,3
139,583,Ассорти брускет,Да,На компанию,21.03.2026,1,1 125,3 000,750,2 250,2
140,583,Браслет красный банкетный,Да,Браслет,21.03.2026,1,0,0,0,0,1
141,583,Вода 2л,Да,Холодные напитки,21.03.2026,1,0,0,0,0,2
142,583,Жасминовый,Да,Горячие напитки,21.03.2026,1,263,700,175,525,2
143,583,Интерактивная АП до 10 детей 1 час,Да,Анимация,21.03.2026,1,8 000,16 000,0,16 000,2
144,583,Капучино,Да,Горячие напитки,21.03.2026,1,188,500,125,375,2
145,583,Картофель фри с наггетсами ,Да,Гарниры,21.03.2026,1,0,0,0,0,4
146,583,Картофельные дольки,Да,Гарниры,21.03.2026,1,240,1 600,400,1 200,5
147,583,Куриные наггетсы с картошкой фри,Да,Детское меню,21.03.2026,1,405,2 160,540,1 620,4
148,583,Лимонад мохито 1 л,Да,Холодные напитки,21.03.2026,1,413,550,138,413,1
149,583,Мини диско,Да,Праздники,21.03.2026,1,0,0,0,,1
150,583,Морс вишневый 1 л,Да,Холодные напитки,21.03.2026,1,450,1 800,450,1 350,3
151,583,Морс клюквенный 1л,Да,Холодные напитки,21.03.2026,1,0,0,0,0,4
152,583,Мясное плато,Да,На компанию,21.03.2026,1,2 850,7 600,1 900,5 700,2
153,583,Овощной котенок,Да,Детское меню,21.03.2026,1,161,1 720,430,1 290,8
154,583,Песочная картина,Да,Праздники,21.03.2026,1,0,0,0,,1
